id,systeme,label,split,cluster_id,ndvi_mean,ndvi_std,ndvi_p10,ndvi_p90,ndvi_amplitude,ndwi_mean,ndwi_std,ndre_mean,ndre_std,area_ha,ndvi_ndwi_ratio,texture_proxy
parcel_1777662687780_8zuuk,intensif,1,train,1,0.43926488536502467,0.08206306361306757,0.3771261753206805,0.5057061781719673,0.1285800028512868,0.061012401482018995,0.03713085373058927,0.2982976819851522,0.05777396783220119,32.665823337753025,7.199598814324536,0.18681907996511762
parcel_1777662715410_fr6g1,intensif,1,test,1,0.42785288204821686,0.119409192838294,0.23253556386968985,0.5213810622725689,0.288845498402879,0.02232079870436388,0.04883709674715226,0.2959547591485045,0.08907590972420718,128.78852899505316,19.168341421454343,0.2790893670641291
parcel_1777662875975_5jz1b,intensif,1,train,0,0.08443264043927008,0.012118903959313577,0.07103254491343464,0.1017713182030624,0.030738773289627763,-0.10875024800261061,0.009429297541606818,0.028822621493050014,0.010106512006225756,105.91107426235152,-0.7763903968398048,0.14353338307235006
parcel_1777662889381_5q9ie,intensif,1,test,0,0.12728275894194452,0.021403601375895993,0.10690883677441321,0.15097778532245149,0.04406894854803828,-0.08150404530394036,0.012747181534498412,0.06251292156233255,0.0171639469018731,16.810050217460006,-1.5616743203853485,0.1681578862073505
parcel_1777663020929_sz60j,intensif,1,train,0,0.3331914684674548,0.06672299633896939,0.24687632715326202,0.4031291222411182,0.15625279508785617,0.026211517764355343,0.029630514307765695,0.21534568883334163,0.0447497869374613,13.15039699051966,12.711638614234335,0.20025421011926242
parcel_1777666827849_immef,intensif,1,val,1,0.1912797112367071,0.029253121306578072,0.15918373657682167,0.2216370599099419,0.06245332333312023,-0.07407548806221508,0.02655576022573662,0.1142565206932976,0.023395105264779194,615.6273959080931,-2.5822271585753875,0.15293373033714106
parcel_1777666990655_5k85g,intensif,1,train,3,0.36364931432688097,0.061427701235875654,0.2841921332549497,0.4246988762969606,0.14050674304201094,0.05249614927485921,0.05139465835792794,0.2568134604549037,0.04875734356808961,84.43366113371383,6.927160374207323,0.16892015776346905
parcel_1777667140912_3xckb,intensif,1,val,0,0.15629724988839025,0.03474484291638314,0.11232857550233637,0.20017128157608818,0.08784270607375182,-0.02928159982009923,0.041294924263176415,0.08428776554510894,0.027305030089992098,294.60529504069433,-5.337731006022971,0.22229975714989478
parcel_1777667155941_ci6fx,intensif,1,train,0,0.2374775198290711,0.049684937975778005,0.17496840759108737,0.28811865261662467,0.1131502450255373,0.0185963978733704,0.03473114159372129,0.14179300835569436,0.036261748046324,46.166828108993165,12.770074814778237,0.20921953336612384
parcel_1777667189888_bwda5,intensif,1,train,0,0.21350831839052065,0.04604523805217261,0.16894487536056613,0.2646379806143261,0.09569310525375996,-0.001995099569329728,0.03532924595983817,0.12551669961286205,0.03408471723513212,105.58105517579072,-107.016908750744,0.21566014964977323
parcel_1777667281825_3deuj,intensif,1,train,4,0.5041378839891736,0.1253913504671857,0.38060538070875677,0.7207471604375737,0.34014177972881693,0.05779794887977423,0.10823891813960612,0.3471035032365575,0.07985653133181658,72.88069155529948,8.722416738588171,0.24872431126924666
parcel_1777667302238_zjnhu,intensif,1,train,4,0.37908947065906723,0.05335766865968193,0.3193874915004367,0.4364246064710043,0.11703711497056757,-0.01922557065856487,0.033889163464350926,0.25710803989049175,0.044328542042623105,18.077181996645837,-19.717993008967735,0.14075217430701792
parcel_1777667330430_52762,intensif,1,val,4,0.44891315806232296,0.07922339531291986,0.3563555762678662,0.5441091581021238,0.1877535818342576,0.01690645989579368,0.04500947166215609,0.3167865263464653,0.06269647575427177,45.633484593938114,26.552743466216576,0.17647821661119376
